"Variance","MFR_train_auc","MFR_validation_auc","FSI_train_auc","FSI_validation_auc","FEM_train_auc","FEM_validation_auc"
0.82,0.815829,0.842285,0.842332,0.883899,0.825622,0.848015
0.83,0.815829,0.842285,0.844434,0.871484,0.825622,0.848015
0.84,0.815829,0.842285,0.87008,0.904966,0.825622,0.848015
0.85,0.816011,0.842516,0.871871,0.907223,0.869061,0.890034
0.86,0.816011,0.842516,0.8859,0.895098,0.869061,0.890034
0.87,0.816301,0.842806,0.876987,0.897355,0.869061,0.890034
0.88,0.816301,0.842806,0.884602,0.891886,0.869479,0.890497
0.89,0.848596,0.844253,0.885659,0.898194,0.882639,0.90977
0.9,0.846097,0.850561,0.929259,0.90103,0.882639,0.90977
0.91,0.88974,0.8784,0.916211,0.910811,0.890233,0.92094
0.92,0.906429,0.889281,0.925092,0.903403,0.890694,0.920998
0.93,0.91043,0.890554,0.931071,0.91168,0.911481,0.939055
0.94,0.918259,0.894606,0.94118,0.907455,0.931077,0.956882
0.95,0.929629,0.894722,0.948656,0.904937,0.947852,0.958618
0.96,0.946876,0.900394,0.952179,0.912548,0.96201,0.95283
0.97,0.949729,0.896805,0.968574,0.910551,0.974462,0.954798
0.98,0.956711,0.899236,0.97694,0.898368,0.979825,0.954451
0.99,0.993897,0.910233,0.977433,0.906615,0.987183,0.96319
0.82,0.833934,0.801424,0.880934,0.829031,0.841732,0.792569
0.83,0.833934,0.801424,0.893397,0.838986,0.844981,0.793552
0.84,0.833934,0.801424,0.91029,0.823533,0.844981,0.793552
0.85,0.833934,0.801424,0.9026,0.837944,0.844981,0.793552
0.86,0.834824,0.801077,0.897291,0.83424,0.88206,0.832388
0.87,0.834824,0.801077,0.89905,0.83369,0.88206,0.832388
0.88,0.842461,0.808832,0.920533,0.831057,0.891081,0.847262
0.89,0.842461,0.808832,0.923601,0.835137,0.891081,0.847262
0.9,0.86743,0.840028,0.934552,0.854729,0.90984,0.87678
0.91,0.898192,0.873018,0.932256,0.861963,0.91176,0.885982
0.92,0.90763,0.87215,0.9425,0.865465,0.911695,0.885809
0.93,0.911985,0.877416,0.955982,0.84897,0.925542,0.900162
0.94,0.923054,0.8806,0.967914,0.848941,0.943604,0.918972
0.95,0.936858,0.878574,0.963157,0.84188,0.961109,0.928348
0.96,0.946489,0.885809,0.958164,0.868214,0.965742,0.934367
0.97,0.967426,0.884651,0.96697,0.869719,0.974913,0.939113
0.98,0.979686,0.881121,0.967989,0.873857,0.981938,0.942702
0.99,0.986411,0.882741,0.974173,0.872207,0.989864,0.945133
0.82,0.82057,0.832041,0.852554,0.855134,0.815657,0.848188
0.83,0.82057,0.832041,0.890678,0.852529,0.818671,0.849577
0.84,0.82057,0.832041,0.881202,0.866564,0.818671,0.849577
0.85,0.82057,0.832041,0.895499,0.873596,0.876601,0.885577
0.86,0.821138,0.832793,0.888496,0.866188,0.876601,0.885577
0.87,0.821138,0.832793,0.892904,0.871513,0.876601,0.885577
0.88,0.821138,0.832793,0.898503,0.872526,0.879121,0.887082
0.89,0.82515,0.835513,0.901795,0.882683,0.879239,0.888124
0.9,0.835457,0.849404,0.905421,0.884246,0.879239,0.888124
0.91,0.838954,0.843327,0.926309,0.895127,0.899715,0.911622
0.92,0.902289,0.895532,0.928288,0.8953,0.91724,0.927943
0.93,0.905421,0.89831,0.946007,0.88905,0.917358,0.928175
0.94,0.907266,0.900799,0.940939,0.892551,0.942532,0.944727
0.95,0.912864,0.912432,0.948045,0.887024,0.950555,0.947853
0.96,0.926819,0.9122,0.963672,0.903693,0.958449,0.953235
0.97,0.943175,0.913127,0.957054,0.898107,0.970107,0.952657
0.98,0.962986,0.920477,0.969357,0.896342,0.98049,0.956592
0.99,0.974859,0.921114,0.98773,0.902998,0.987998,0.961859
0.82,0.816891,0.840375,0.860593,0.847436,0.82752,0.840259
0.83,0.816891,0.840375,0.897044,0.843674,0.82752,0.840259
0.84,0.816891,0.840375,0.884377,0.865552,0.82752,0.840259
0.85,0.817406,0.840144,0.89876,0.862079,0.874102,0.876085
0.86,0.817406,0.840144,0.884248,0.866246,0.874102,0.876085
0.87,0.822157,0.840144,0.89107,0.859301,0.883347,0.878574
0.88,0.822157,0.840144,0.897478,0.855799,0.883347,0.878574
0.89,0.877598,0.871629,0.91398,0.863902,0.899329,0.902477
0.9,0.895285,0.884767,0.90969,0.879731,0.902117,0.905776
0.91,0.904069,0.884246,0.914934,0.90184,0.902128,0.906008
0.92,0.904413,0.889223,0.921649,0.898599,0.917745,0.927885
0.93,0.912081,0.893101,0.931672,0.898426,0.919311,0.929101
0.94,0.917884,0.895474,0.946747,0.893159,0.940515,0.937782
0.95,0.924663,0.902593,0.950914,0.903577,0.954341,0.944091
0.96,0.947916,0.908091,0.955553,0.903345,0.96438,0.952078
0.97,0.961752,0.908207,0.963211,0.905487,0.972961,0.960933
0.98,0.978988,0.920303,0.96438,0.900046,0.978849,0.958155
0.99,0.986368,0.907107,0.984292,0.900625,0.985284,0.960875
0.82,0.821138,0.828337,0.84762,0.863236,0.831682,0.812247
0.83,0.821138,0.828337,0.869425,0.901898,0.831682,0.812189
0.84,0.821138,0.828337,0.872654,0.895966,0.831682,0.812189
0.85,0.821138,0.828337,0.873313,0.895069,0.831682,0.812189
0.86,0.822618,0.8266,0.878521,0.900162,0.876386,0.881757
0.87,0.822618,0.8266,0.879465,0.897268,0.876386,0.881757
0.88,0.840133,0.834819,0.889268,0.90077,0.883208,0.881931
0.89,0.845475,0.834414,0.899447,0.912085,0.883208,0.881931
0.9,0.868481,0.86995,0.909207,0.909133,0.889268,0.889686
0.91,0.882157,0.888587,0.908933,0.905371,0.904359,0.89912
0.92,0.895296,0.900972,0.930948,0.921403,0.904477,0.899236
0.93,0.899715,0.903114,0.928395,0.917641,0.923837,0.924702
0.94,0.910998,0.90404,0.921332,0.91359,0.938606,0.941023
0.95,0.912843,0.91249,0.937984,0.917757,0.951552,0.943686
0.96,0.929607,0.920651,0.953354,0.915876,0.965356,0.942528
0.97,0.939475,0.910117,0.96704,0.911159,0.974087,0.9493
0.98,0.952249,0.906181,0.972564,0.909828,0.979846,0.952078
0.99,0.985982,0.916831,0.983204,0.910754,0.98227,0.954972
0.82,0.824613,0.822433,0.834224,0.875275,0.829333,0.815777
0.83,0.824613,0.822433,0.868546,0.9054,0.829333,0.815777
0.84,0.824613,0.822433,0.868224,0.905255,0.829333,0.815777
0.85,0.826254,0.820118,0.876091,0.894722,0.867345,0.885114
0.86,0.826254,0.820118,0.877191,0.901551,0.867345,0.885114
0.87,0.826319,0.820755,0.889037,0.889686,0.872632,0.893448
0.88,0.826319,0.820755,0.893462,0.878574,0.872632,0.893448
0.89,0.844241,0.832735,0.901066,0.893767,0.888034,0.915094
0.9,0.846097,0.838291,0.908848,0.893796,0.892614,0.917815
