"Split","MFR","FSI","CAFF","FEM","THEMIS","Cohort"
"group1",0.94,0.921,0.823,0.954,0.973,"Training"
"group2",0.93,0.932,0.849,0.946,0.969,"Training"
"group3",0.938,0.924,0.845,0.959,0.978,"Training"
"group4",0.927,0.928,0.843,0.946,0.968,"Training"
"group5",0.941,0.926,0.842,0.958,0.978,"Training"
"group6",0.924,0.916,0.819,0.943,0.967,"Training"
"group7",0.934,0.923,0.843,0.946,0.971,"Training"
"group8",0.938,0.936,0.848,0.954,0.975,"Training"
"group9",0.921,0.915,0.816,0.943,0.968,"Training"
"group10",0.93,0.922,0.848,0.954,0.973,"Training"
"group11",0.922,0.905,0.824,0.939,0.963,"Training"
"group12",0.936,0.908,0.829,0.943,0.968,"Training"
"group13",0.936,0.914,0.819,0.947,0.972,"Training"
"group14",0.935,0.912,0.815,0.945,0.971,"Training"
"group15",0.931,0.926,0.85,0.949,0.971,"Training"
"group16",0.925,0.924,0.85,0.95,0.97,"Training"
"group17",0.934,0.913,0.823,0.94,0.968,"Training"
"group18",0.925,0.925,0.842,0.948,0.969,"Training"
"group19",0.93,0.91,0.825,0.949,0.967,"Training"
"group20",0.931,0.916,0.821,0.951,0.973,"Training"
"group21",0.931,0.926,0.833,0.945,0.969,"Training"
"group22",0.933,0.911,0.841,0.949,0.968,"Training"
"group23",0.928,0.917,0.833,0.948,0.967,"Training"
"group24",0.94,0.918,0.826,0.95,0.974,"Training"
"group25",0.931,0.928,0.824,0.948,0.975,"Training"
"group26",0.937,0.925,0.841,0.953,0.972,"Training"
"group27",0.927,0.912,0.829,0.952,0.969,"Training"
"group28",0.932,0.921,0.837,0.946,0.969,"Training"
"group29",0.93,0.932,0.841,0.946,0.97,"Training"
"group30",0.934,0.934,0.849,0.955,0.977,"Training"
"group31",0.932,0.921,0.85,0.952,0.973,"Training"
"group32",0.937,0.933,0.851,0.95,0.973,"Training"
"group33",0.938,0.921,0.834,0.956,0.973,"Training"
"group34",0.937,0.932,0.837,0.951,0.974,"Training"
"group35",0.944,0.908,0.808,0.942,0.97,"Training"
"group36",0.933,0.929,0.838,0.944,0.97,"Training"
"group37",0.941,0.922,0.84,0.957,0.972,"Training"
"group38",0.929,0.926,0.84,0.942,0.968,"Training"
"group39",0.927,0.913,0.822,0.943,0.968,"Training"
"group40",0.923,0.91,0.826,0.949,0.97,"Training"
"group41",0.927,0.923,0.833,0.95,0.97,"Training"
"group42",0.939,0.919,0.838,0.951,0.975,"Training"
"group43",0.934,0.928,0.847,0.946,0.97,"Training"
"group44",0.931,0.926,0.835,0.951,0.973,"Training"
"group45",0.931,0.926,0.829,0.944,0.968,"Training"
"group46",0.941,0.913,0.824,0.945,0.971,"Training"
"group47",0.928,0.911,0.822,0.948,0.969,"Training"
"group48",0.945,0.912,0.823,0.948,0.972,"Training"
"group49",0.935,0.935,0.856,0.952,0.974,"Training"
"group50",0.946,0.925,0.845,0.963,0.979,"Training"
"group51",0.936,0.914,0.822,0.95,0.973,"Training"
"group52",0.926,0.917,0.834,0.946,0.97,"Training"
"group53",0.932,0.919,0.825,0.947,0.971,"Training"
"group54",0.923,0.931,0.834,0.946,0.97,"Training"
"group55",0.929,0.92,0.83,0.947,0.97,"Training"
"group56",0.946,0.917,0.833,0.95,0.974,"Training"
"group57",0.93,0.917,0.835,0.949,0.97,"Training"
"group58",0.935,0.915,0.831,0.952,0.971,"Training"
"group59",0.937,0.92,0.825,0.938,0.966,"Training"
"group60",0.936,0.923,0.834,0.947,0.97,"Training"
"group61",0.927,0.921,0.835,0.941,0.967,"Training"
"group62",0.92,0.915,0.831,0.945,0.968,"Training"
"group63",0.918,0.911,0.824,0.937,0.962,"Training"
"group64",0.942,0.918,0.851,0.953,0.974,"Training"
"group65",0.931,0.921,0.834,0.953,0.973,"Training"
"group66",0.915,0.915,0.815,0.943,0.965,"Training"
"group67",0.94,0.925,0.836,0.964,0.98,"Training"
"group68",0.922,0.899,0.815,0.943,0.964,"Training"
"group69",0.931,0.924,0.842,0.956,0.974,"Training"
"group70",0.925,0.906,0.807,0.94,0.964,"Training"
"group71",0.934,0.922,0.846,0.949,0.969,"Training"
"group72",0.93,0.928,0.83,0.947,0.971,"Training"
"group73",0.931,0.919,0.842,0.95,0.971,"Training"
"group74",0.929,0.921,0.83,0.945,0.969,"Training"
"group75",0.943,0.934,0.867,0.955,0.977,"Training"
"group76",0.92,0.915,0.836,0.946,0.97,"Training"
"group77",0.925,0.919,0.83,0.946,0.97,"Training"
"group78",0.938,0.914,0.817,0.95,0.973,"Training"
"group79",0.936,0.925,0.845,0.952,0.976,"Training"
"group80",0.941,0.911,0.823,0.953,0.972,"Training"
"group81",0.921,0.908,0.811,0.947,0.967,"Training"
"group82",0.939,0.92,0.832,0.954,0.976,"Training"
"group83",0.942,0.92,0.838,0.956,0.975,"Training"
"group84",0.916,0.904,0.817,0.941,0.963,"Training"
"group85",0.946,0.938,0.849,0.953,0.978,"Training"
"group86",0.941,0.943,0.851,0.961,0.978,"Training"
"group87",0.937,0.924,0.841,0.952,0.973,"Training"
"group88",0.926,0.925,0.832,0.948,0.97,"Training"
"group89",0.932,0.921,0.835,0.945,0.97,"Training"
"group90",0.928,0.928,0.847,0.95,0.973,"Training"
"group91",0.928,0.923,0.836,0.943,0.967,"Training"
"group92",0.931,0.898,0.807,0.943,0.966,"Training"
"group93",0.938,0.914,0.832,0.953,0.972,"Training"
"group94",0.937,0.917,0.843,0.945,0.969,"Training"
"group95",0.933,0.918,0.843,0.951,0.974,"Training"
"group96",0.933,0.925,0.833,0.958,0.977,"Training"
"group97",0.936,0.917,0.846,0.95,0.971,"Training"
"group98",0.939,0.922,0.832,0.95,0.972,"Training"
"group99",0.94,0.928,0.836,0.956,0.978,"Training"
"group100",0.932,0.941,0.845,0.954,0.974,"Training"
"group1",0.927,0.901,0.863,0.942,0.962,"Test"
"group2",0.927,0.879,0.822,0.943,0.961,"Test"
"group3",0.908,0.887,0.833,0.911,0.941,"Test"
"group4",0.929,0.894,0.83,0.953,0.971,"Test"
"group5",0.915,0.891,0.82,0.931,0.957,"Test"
"group6",0.948,0.906,0.879,0.964,0.977,"Test"
"group7",0.92,0.902,0.836,0.936,0.961,"Test"
"group8",0.897,0.882,0.813,0.927,0.949,"Test"
"group9",0.963,0.93,0.879,0.96,0.985,"Test"
"group10",0.928,0.908,0.824,0.934,0.963,"Test"
"group11",0.958,0.934,0.875,0.968,0.983,"Test"
"group12",0.936,0.928,0.852,0.962,0.977,"Test"
"group13",0.947,0.924,0.872,0.957,0.971,"Test"
"group14",0.94,0.94,0.874,0.955,0.978,"Test"
"group15",0.921,0.886,0.818,0.938,0.96,"Test"
"group16",0.923,0.887,0.805,0.939,0.96,"Test"
"group17",0.952,0.935,0.863,0.963,0.984,"Test"
"group18",0.914,0.909,0.834,0.945,0.972,"Test"
"group19",0.921,0.912,0.865,0.947,0.964,"Test"
"group20",0.933,0.912,0.875,0.949,0.969,"Test"
"group21",0.925,0.893,0.847,0.951,0.969,"Test"
"group22",0.902,0.91,0.836,0.948,0.965,"Test"
"group23",0.932,0.912,0.867,0.942,0.962,"Test"
"group24",0.92,0.925,0.851,0.953,0.972,"Test"
"group25",0.936,0.917,0.856,0.955,0.972,"Test"
"group26",0.901,0.9,0.833,0.925,0.96,"Test"
"group27",0.941,0.916,0.859,0.947,0.97,"Test"
"group28",0.931,0.906,0.848,0.952,0.968,"Test"
"group29",0.91,0.872,0.829,0.943,0.953,"Test"
"group30",0.903,0.888,0.829,0.934,0.95,"Test"
"group31",0.933,0.899,0.819,0.942,0.962,"Test"
"group32",0.908,0.886,0.808,0.937,0.96,"Test"
"group33",0.913,0.904,0.837,0.925,0.951,"Test"
"group34",0.914,0.883,0.845,0.943,0.956,"Test"
"group35",0.947,0.933,0.898,0.962,0.975,"Test"
"group36",0.925,0.882,0.833,0.955,0.972,"Test"
"group37",0.889,0.88,0.829,0.916,0.95,"Test"
"group38",0.923,0.897,0.822,0.952,0.971,"Test"
"group39",0.95,0.936,0.882,0.962,0.979,"Test"
"group40",0.947,0.929,0.859,0.945,0.975,"Test"
"group41",0.93,0.909,0.837,0.937,0.965,"Test"
"group42",0.913,0.907,0.834,0.944,0.961,"Test"
"group43",0.903,0.881,0.822,0.937,0.957,"Test"
"group44",0.909,0.91,0.832,0.929,0.959,"Test"
"group45",0.917,0.9,0.85,0.951,0.964,"Test"
"group46",0.929,0.92,0.869,0.958,0.971,"Test"
"group47",0.921,0.925,0.873,0.946,0.973,"Test"
"group48",0.949,0.901,0.872,0.96,0.977,"Test"
"group49",0.905,0.865,0.82,0.933,0.947,"Test"
"group50",0.899,0.886,0.836,0.911,0.939,"Test"
"group51",0.941,0.929,0.862,0.95,0.97,"Test"
"group52",0.936,0.903,0.846,0.947,0.963,"Test"
"group53",0.938,0.913,0.865,0.952,0.972,"Test"
"group54",0.931,0.895,0.86,0.949,0.97,"Test"
"group55",0.915,0.909,0.853,0.946,0.966,"Test"
"group56",0.894,0.887,0.839,0.944,0.948,"Test"
"group57",0.91,0.91,0.846,0.945,0.966,"Test"
"group58",0.926,0.906,0.838,0.943,0.966,"Test"
"group59",0.93,0.9,0.873,0.963,0.97,"Test"
"group60",0.908,0.9,0.833,0.949,0.963,"Test"
"group61",0.928,0.909,0.86,0.965,0.976,"Test"
"group62",0.939,0.925,0.854,0.956,0.973,"Test"
"group63",0.944,0.925,0.86,0.963,0.979,"Test"
"group64",0.909,0.875,0.81,0.932,0.951,"Test"
"group65",0.924,0.912,0.846,0.94,0.962,"Test"
"group66",0.951,0.928,0.888,0.965,0.979,"Test"
"group67",0.91,0.878,0.842,0.907,0.936,"Test"
"group68",0.942,0.943,0.886,0.96,0.983,"Test"
"group69",0.918,0.896,0.845,0.933,0.955,"Test"
"group70",0.955,0.933,0.896,0.97,0.984,"Test"
"group71",0.926,0.904,0.812,0.947,0.972,"Test"
"group72",0.921,0.904,0.861,0.947,0.965,"Test"
"group73",0.935,0.905,0.828,0.936,0.97,"Test"
"group74",0.949,0.913,0.854,0.953,0.973,"Test"
"group75",0.884,0.858,0.777,0.926,0.941,"Test"
"group76",0.949,0.927,0.846,0.958,0.979,"Test"
"group77",0.923,0.913,0.867,0.955,0.972,"Test"
"group78",0.925,0.924,0.875,0.95,0.971,"Test"
"group79",0.912,0.915,0.822,0.939,0.961,"Test"
"group80",0.922,0.916,0.866,0.939,0.966,"Test"
"group81",0.941,0.928,0.88,0.958,0.977,"Test"
"group82",0.938,0.901,0.851,0.936,0.962,"Test"
"group83",0.921,0.894,0.819,0.929,0.947,"Test"
"group84",0.949,0.941,0.874,0.961,0.984,"Test"
"group85",0.901,0.876,0.823,0.927,0.943,"Test"
"group86",0.882,0.871,0.823,0.904,0.944,"Test"
"group87",0.913,0.89,0.82,0.932,0.956,"Test"
"group88",0.934,0.897,0.861,0.93,0.961,"Test"
"group89",0.918,0.904,0.832,0.954,0.967,"Test"
"group90",0.938,0.899,0.814,0.949,0.976,"Test"
"group91",0.928,0.913,0.826,0.951,0.972,"Test"
"group92",0.955,0.941,0.898,0.967,0.983,"Test"
"group93",0.914,0.895,0.833,0.928,0.957,"Test"
"group94",0.91,0.893,0.816,0.948,0.962,"Test"
"group95",0.914,0.897,0.836,0.951,0.96,"Test"
"group96",0.919,0.888,0.833,0.921,0.947,"Test"
"group97",0.918,0.903,0.843,0.949,0.965,"Test"
"group98",0.908,0.894,0.861,0.937,0.961,"Test"
"group99",0.919,0.888,0.851,0.928,0.944,"Test"
"group100",0.915,0.876,0.821,0.924,0.948,"Test"
