"COREAD","ESCA","HEALTHY","LIHC","NSCLC","PACA","STAD","split_name","train_early_percentage","test_early_percentage","MFR_train_auc","MFR_test_auc","FSI_train_auc","FSI_test_auc","CAFF_train_auc","CAFF_test_auc","FEM_train_auc","FEM_test_auc","Cancer_prob_train_auc","Cancer_prob_test_auc"
2,3,2,1,2,3,5,"split_1",0.222664015904573,0.577617328519856,0.944,0.867,0.938,0.863,0.864,0.775,0.981,0.756,0.99,0.863
5,3,2,1,2,3,5,"split_2",0.227364185110664,0.561837455830389,0.942,0.868,0.94,0.877,0.868,0.771,0.982,0.766,0.99,0.864
6,3,2,1,2,3,5,"split_3",0.204899777282851,0.54380664652568,0.948,0.881,0.943,0.877,0.869,0.783,0.981,0.796,0.991,0.888
2,4,2,1,2,3,5,"split_4",0.245798319327731,0.509868421052632,0.933,0.894,0.937,0.876,0.853,0.8,0.98,0.771,0.988,0.876
5,4,2,1,2,3,5,"split_5",0.251063829787234,0.496774193548387,0.933,0.897,0.941,0.883,0.857,0.796,0.981,0.796,0.989,0.884
6,4,2,1,2,3,5,"split_6",0.229857819905213,0.488826815642458,0.925,0.895,0.932,0.89,0.857,0.804,0.978,0.822,0.986,0.9
2,3,3,1,2,3,5,"split_7",0.222664015904573,0.577617328519856,0.953,0.867,0.94,0.857,0.887,0.777,0.978,0.857,0.986,0.907
5,3,3,1,2,3,5,"split_8",0.227364185110664,0.561837455830389,0.951,0.872,0.943,0.861,0.892,0.771,0.98,0.859,0.988,0.909
6,3,3,1,2,3,5,"split_9",0.204899777282851,0.54380664652568,0.948,0.881,0.935,0.865,0.889,0.789,0.974,0.878,0.983,0.92
2,4,3,1,2,3,5,"split_10",0.245798319327731,0.509868421052632,0.944,0.888,0.94,0.859,0.877,0.802,0.977,0.861,0.985,0.91
5,4,3,1,2,3,5,"split_11",0.251063829787234,0.496774193548387,0.942,0.89,0.949,0.857,0.882,0.795,0.978,0.863,0.987,0.911
6,4,3,1,2,3,5,"split_12",0.229857819905213,0.488826815642458,0.939,0.898,0.935,0.871,0.879,0.809,0.972,0.884,0.98,0.928
2,3,2,6,2,3,5,"split_13",0.311320754716981,0.428,0.936,0.904,0.926,0.881,0.852,0.791,0.964,0.883,0.981,0.928
5,3,2,6,2,3,5,"split_14",0.316793893129771,0.4140625,0.938,0.903,0.929,0.888,0.856,0.786,0.966,0.878,0.983,0.924
6,3,2,6,2,3,5,"split_15",0.304621848739496,0.417763157894737,0.937,0.909,0.922,0.896,0.856,0.797,0.963,0.892,0.981,0.938
2,4,2,6,2,3,5,"split_16",0.337972166998012,0.368231046931408,0.925,0.928,0.92,0.893,0.841,0.818,0.961,0.896,0.978,0.938
5,4,2,6,2,3,5,"split_17",0.344064386317907,0.356890459363958,0.929,0.927,0.921,0.898,0.844,0.812,0.966,0.897,0.98,0.938
6,4,2,6,2,3,5,"split_18",0.334075723830735,0.368580060422961,0.933,0.929,0.921,0.9,0.843,0.819,0.961,0.907,0.979,0.944
2,3,3,6,2,3,5,"split_19",0.311320754716981,0.428,0.943,0.899,0.939,0.868,0.875,0.792,0.967,0.872,0.98,0.918
5,3,3,6,2,3,5,"split_20",0.316793893129771,0.4140625,0.943,0.898,0.931,0.867,0.88,0.784,0.97,0.876,0.981,0.916
6,3,3,6,2,3,5,"split_21",0.304621848739496,0.417763157894737,0.948,0.905,0.936,0.873,0.877,0.802,0.965,0.886,0.981,0.931
2,4,3,6,2,3,5,"split_22",0.337972166998012,0.368231046931408,0.938,0.916,0.926,0.869,0.866,0.817,0.967,0.883,0.979,0.926
5,4,3,6,2,3,5,"split_23",0.344064386317907,0.356890459363958,0.938,0.917,0.931,0.869,0.87,0.809,0.97,0.871,0.981,0.917
6,4,3,6,2,3,5,"split_24",0.334075723830735,0.368580060422961,0.933,0.914,0.921,0.871,0.866,0.822,0.964,0.879,0.975,0.926
2,3,2,1,3,3,5,"split_25",0.248945147679325,0.503267973856209,0.939,0.892,0.935,0.872,0.859,0.792,0.968,0.824,0.981,0.905
5,3,2,1,3,3,5,"split_26",0.254273504273504,0.490384615384615,0.934,0.895,0.936,0.873,0.862,0.788,0.969,0.832,0.983,0.908
6,3,2,1,3,3,5,"split_27",0.233333333333333,0.483333333333333,0.935,0.901,0.935,0.887,0.863,0.797,0.965,0.855,0.98,0.922
2,4,2,1,3,3,5,"split_28",0.275167785234899,0.447447447447447,0.928,0.913,0.936,0.883,0.846,0.814,0.965,0.829,0.979,0.914
5,4,2,1,3,3,5,"split_29",0.281179138321995,0.436578171091445,0.924,0.917,0.929,0.879,0.85,0.81,0.966,0.841,0.98,0.92
6,4,2,1,3,3,5,"split_30",0.262086513994911,0.436692506459948,0.916,0.919,0.923,0.896,0.849,0.815,0.963,0.865,0.976,0.93
2,3,3,1,3,3,5,"split_31",0.248945147679325,0.503267973856209,0.946,0.882,0.944,0.853,0.882,0.795,0.965,0.871,0.979,0.919
5,3,3,1,3,3,5,"split_32",0.254273504273504,0.490384615384615,0.942,0.888,0.945,0.852,0.887,0.789,0.967,0.874,0.981,0.916
6,3,3,1,3,3,5,"split_33",0.233333333333333,0.483333333333333,0.938,0.895,0.942,0.865,0.884,0.803,0.959,0.891,0.975,0.934
2,4,3,1,3,3,5,"split_34",0.275167785234899,0.447447447447447,0.929,0.904,0.934,0.862,0.871,0.815,0.963,0.884,0.973,0.925
5,4,3,1,3,3,5,"split_35",0.281179138321995,0.436578171091445,0.931,0.906,0.933,0.862,0.876,0.809,0.964,0.883,0.974,0.92
6,4,3,1,3,3,5,"split_36",0.262086513994911,0.436692506459948,0.924,0.91,0.941,0.878,0.872,0.82,0.957,0.891,0.972,0.935
2,3,2,6,3,3,5,"split_37",0.341317365269461,0.362007168458781,0.93,0.923,0.927,0.882,0.846,0.808,0.954,0.919,0.974,0.952
5,3,2,6,3,3,5,"split_38",0.347474747474747,0.350877192982456,0.93,0.925,0.925,0.89,0.85,0.803,0.956,0.92,0.975,0.951
6,3,2,6,3,3,5,"split_39",0.337807606263982,0.363363363363363,0.933,0.926,0.922,0.899,0.849,0.811,0.953,0.921,0.975,0.957
2,4,2,6,3,3,5,"split_40",0.371308016877637,0.313725490196078,0.919,0.94,0.915,0.9,0.834,0.831,0.953,0.923,0.971,0.961
5,4,2,6,3,3,5,"split_41",0.378205128205128,0.304487179487179,0.92,0.946,0.915,0.901,0.837,0.826,0.955,0.918,0.972,0.956
6,4,2,6,3,3,5,"split_42",0.371428571428571,0.322222222222222,0.915,0.941,0.909,0.906,0.835,0.83,0.947,0.916,0.967,0.958
2,3,3,6,3,3,5,"split_43",0.341317365269461,0.362007168458781,0.937,0.912,0.933,0.873,0.87,0.809,0.965,0.856,0.979,0.913
5,3,3,6,3,3,5,"split_44",0.347474747474747,0.350877192982456,0.938,0.916,0.933,0.869,0.875,0.802,0.966,0.849,0.98,0.909
6,3,3,6,3,3,5,"split_45",0.337807606263982,0.363363363363363,0.931,0.913,0.927,0.878,0.871,0.816,0.961,0.857,0.975,0.921
2,4,3,6,3,3,5,"split_46",0.371308016877637,0.313725490196078,0.934,0.922,0.933,0.874,0.859,0.83,0.964,0.849,0.979,0.918
5,4,3,6,3,3,5,"split_47",0.378205128205128,0.304487179487179,0.934,0.925,0.933,0.868,0.864,0.824,0.966,0.847,0.979,0.905
6,4,3,6,3,3,5,"split_48",0.371428571428571,0.322222222222222,0.929,0.923,0.924,0.876,0.858,0.833,0.96,0.857,0.972,0.918
2,3,2,1,4,3,5,"split_49",0.237006237006237,0.528428093645485,0.935,0.894,0.934,0.869,0.863,0.783,0.968,0.812,0.982,0.9
5,3,2,1,4,3,5,"split_50",0.242105263157895,0.514754098360656,0.928,0.889,0.931,0.875,0.867,0.779,0.968,0.826,0.982,0.901
6,3,2,1,4,3,5,"split_51",0.220140515222482,0.504249291784703,0.931,0.899,0.935,0.882,0.868,0.79,0.966,0.841,0.981,0.915
2,4,2,1,4,3,5,"split_52",0.262114537444934,0.469325153374233,0.922,0.915,0.932,0.881,0.851,0.806,0.966,0.828,0.979,0.911
5,4,2,1,4,3,5,"split_53",0.267857142857143,0.457831325301205,0.921,0.919,0.934,0.884,0.855,0.802,0.966,0.835,0.98,0.911
6,4,2,1,4,3,5,"split_54",0.2475,0.455263157894737,0.919,0.92,0.928,0.893,0.855,0.809,0.962,0.857,0.977,0.927
2,3,3,1,4,3,5,"split_55",0.237006237006237,0.528428093645485,0.945,0.874,0.952,0.86,0.88,0.795,0.964,0.878,0.981,0.921
5,3,3,1,4,3,5,"split_56",0.242105263157895,0.514754098360656,0.944,0.882,0.95,0.857,0.885,0.788,0.966,0.883,0.983,0.921
6,3,3,1,4,3,5,"split_57",0.220140515222482,0.504249291784703,0.936,0.887,0.948,0.871,0.882,0.803,0.959,0.892,0.977,0.931
2,4,3,1,4,3,5,"split_58",0.262114537444934,0.469325153374233,0.939,0.9,0.935,0.856,0.87,0.816,0.962,0.876,0.976,0.92
5,4,3,1,4,3,5,"split_59",0.267857142857143,0.457831325301205,0.934,0.899,0.935,0.864,0.875,0.81,0.965,0.879,0.978,0.922
6,4,3,1,4,3,5,"split_60",0.2475,0.455263157894737,0.928,0.906,0.94,0.881,0.87,0.821,0.955,0.895,0.973,0.938
2,3,2,6,4,3,5,"split_61",0.328740157480315,0.386029411764706,0.928,0.922,0.928,0.884,0.851,0.799,0.953,0.913,0.974,0.947
5,3,2,6,4,3,5,"split_62",0.334661354581673,0.37410071942446,0.93,0.924,0.918,0.892,0.854,0.794,0.956,0.912,0.975,0.946
6,3,2,6,4,3,5,"split_63",0.323788546255507,0.383435582822086,0.93,0.921,0.922,0.9,0.854,0.804,0.952,0.917,0.974,0.952
2,4,2,6,4,3,5,"split_64",0.357588357588358,0.334448160535117,0.92,0.941,0.919,0.899,0.839,0.823,0.951,0.915,0.971,0.956
5,4,2,6,4,3,5,"split_65",0.364210526315789,0.324590163934426,0.92,0.943,0.916,0.905,0.842,0.818,0.954,0.911,0.972,0.954
6,4,2,6,4,3,5,"split_66",0.355971896955504,0.339943342776204,0.916,0.942,0.923,0.903,0.841,0.823,0.949,0.918,0.971,0.956
2,3,3,6,4,3,5,"split_67",0.328740157480315,0.386029411764706,0.947,0.897,0.927,0.875,0.869,0.809,0.961,0.878,0.977,0.926
5,3,3,6,4,3,5,"split_68",0.334661354581673,0.37410071942446,0.94,0.904,0.928,0.877,0.873,0.802,0.964,0.868,0.979,0.918
6,3,3,6,4,3,5,"split_69",0.323788546255507,0.383435582822086,0.941,0.899,0.923,0.882,0.869,0.816,0.959,0.871,0.975,0.929
